round,mean,p10,p50,p90
1.000000000000000000e+00,8.026565578141664492e-01,7.830434782608695077e-01,8.019021739130434145e-01,8.353105590062112062e-01
2.000000000000000000e+00,8.019614232385970931e-01,7.708478260869564558e-01,8.019565217391304568e-01,8.291770186335404302e-01
3.000000000000000000e+00,8.042263394817743549e-01,7.815652173913043566e-01,8.038586956521739380e-01,8.401863354037267806e-01
4.000000000000000000e+00,8.043516767049376792e-01,7.817391304347826031e-01,8.065217391304347894e-01,8.313260869565217703e-01
5.000000000000000000e+00,8.011413435598220278e-01,7.654844720496895016e-01,8.013043478260870600e-01,8.285869565217390820e-01
6.000000000000000000e+00,8.096914721751679034e-01,7.705869565217391415e-01,8.111660079051383754e-01,8.365062111801242484e-01
7.000000000000000000e+00,8.075220009459140869e-01,7.851588628762541378e-01,8.057905138339920281e-01,8.410869565217391486e-01
8.000000000000000000e+00,8.045276643646209758e-01,7.745000000000000773e-01,8.046245059288537060e-01,8.377173913043478581e-01
9.000000000000000000e+00,8.090366644225339687e-01,7.776688963210702799e-01,8.102355072463768293e-01,8.339130434782608958e-01
1.000000000000000000e+01,8.078242331340156346e-01,7.828043478260869881e-01,8.031400966183575019e-01,8.486956521739130732e-01
1.100000000000000000e+01,8.111778625963406153e-01,7.808193979933110151e-01,8.161231884057971175e-01,8.454710144927536364e-01
1.200000000000000000e+01,8.125789536550407366e-01,7.723913043478261020e-01,8.130434782608695343e-01,8.514130434782608559e-01
1.300000000000000000e+01,8.113052774520166377e-01,7.764855072463768826e-01,8.075592885375493246e-01,8.535507246376812240e-01
1.400000000000000000e+01,8.102633537959624821e-01,7.855351170568561914e-01,8.043478260869565410e-01,8.502536231884058049e-01
1.500000000000000000e+01,8.090817111632329084e-01,7.827833519137867846e-01,8.102173913043477782e-01,8.365579710144928072e-01
1.600000000000000000e+01,8.124696312141963528e-01,7.774136008918617335e-01,8.152173913043478937e-01,8.571739130434783416e-01
1.700000000000000000e+01,8.122072034245947370e-01,7.828836863619472730e-01,8.073913043478260221e-01,8.459420289855072994e-01
1.800000000000000000e+01,8.119440300038126557e-01,7.844741731698253728e-01,8.089673913043478048e-01,8.507608695652174591e-01
1.900000000000000000e+01,8.104171154932023891e-01,7.792233370494240363e-01,8.105072463768115965e-01,8.367971014492753268e-01
2.000000000000000000e+01,8.124401154401154068e-01,7.805138339920949520e-01,8.111594202898551043e-01,8.509855072463767822e-01
2.100000000000000000e+01,8.125911129932870125e-01,7.739130434782608425e-01,8.119323671497584716e-01,8.463768115942029713e-01
2.200000000000000000e+01,8.116824142041532131e-01,7.814565217391303831e-01,8.132975719932241665e-01,8.378260869565218316e-01
2.300000000000000000e+01,8.095754987765857447e-01,7.816630434782608772e-01,8.081642512077295004e-01,8.366770186335403814e-01
2.400000000000000000e+01,8.076861785557436502e-01,7.781739130434782714e-01,8.118478260869566032e-01,8.365838509316769755e-01
2.500000000000000000e+01,8.117391539619800422e-01,7.853586956521738660e-01,8.116425120772947643e-01,8.317391304347825365e-01
2.600000000000000000e+01,8.063972880983751867e-01,7.594515810276680767e-01,8.112560386473430807e-01,8.240496894409937712e-01
2.700000000000000000e+01,8.103714944475814974e-01,7.836645962732918802e-01,8.097716293368466545e-01,8.292546583850932684e-01
2.800000000000000000e+01,8.147147248886380533e-01,7.860711462450593601e-01,8.173693456302152383e-01,8.396894409937888382e-01
2.900000000000000000e+01,8.077037612146309442e-01,7.859367588932806292e-01,8.079106280193235623e-01,8.346376811594202749e-01
3.000000000000000000e+01,8.112456709956707979e-01,7.867984189723320476e-01,8.112318840579710866e-01,8.360248447204968736e-01
3.100000000000000000e+01,8.136874176548086757e-01,7.888509316770185853e-01,8.121376811594203105e-01,8.422360248447204878e-01
3.200000000000000000e+01,8.106818024970200431e-01,7.867852437417655054e-01,8.128019323671498153e-01,8.308695652173913038e-01
3.300000000000000000e+01,8.091078408306670022e-01,7.734782608695651707e-01,8.136645962732919068e-01,8.375181159420289623e-01
3.400000000000000000e+01,8.140664721751678101e-01,7.648695652173913562e-01,8.182213438735177480e-01,8.391304347826087362e-01
3.500000000000000000e+01,8.104623878536919568e-01,7.719254658385094059e-01,8.148550724637680931e-01,8.414409937888198687e-01
3.600000000000000000e+01,8.117321193299454896e-01,7.832608695652173436e-01,8.136231884057971708e-01,8.371739130434783238e-01
3.700000000000000000e+01,8.082416400025096426e-01,7.767826086956521880e-01,8.099802371541502399e-01,8.333664596273292480e-01
3.800000000000000000e+01,8.079238032498901045e-01,7.824999999999999734e-01,8.137922705314009075e-01,8.344409937888199735e-01
3.900000000000000000e+01,8.120190413451282563e-01,7.951086956521739024e-01,8.136645962732919068e-01,8.416459627329192505e-01
4.000000000000000000e+01,8.112995169082125591e-01,7.791666666666666741e-01,8.141304347826086030e-01,8.318478260869565100e-01
4.100000000000000000e+01,8.092529957964741394e-01,7.708695652173912505e-01,8.138622247317899294e-01,8.352173913043478004e-01
4.200000000000000000e+01,8.117239475500344081e-01,7.800869565217392054e-01,8.070267896354852422e-01,8.401614906832297613e-01
4.300000000000000000e+01,8.104882991404730452e-01,7.727391304347825951e-01,8.137681159420289134e-01,8.353260869565216629e-01
4.400000000000000000e+01,8.151853158918376252e-01,7.833695652173913171e-01,8.179347826086956763e-01,8.423602484472049179e-01
4.500000000000000000e+01,8.218312472551602132e-01,7.869927536231883236e-01,8.240338164251208575e-01,8.549378881987577117e-01
4.600000000000000000e+01,8.147731193926845972e-01,7.779710144927536319e-01,8.155072463768116009e-01,8.440993788819876054e-01
4.700000000000000000e+01,8.120729813664595564e-01,7.839637681159420390e-01,8.101449275362319069e-01,8.472826086956521952e-01
4.800000000000000000e+01,8.157735742518351651e-01,7.765942028985507450e-01,8.223602484472050111e-01,8.448913043478259999e-01
4.900000000000000000e+01,8.184416682351465244e-01,7.837681159420289978e-01,8.152898550724637650e-01,8.469254658385092505e-01
5.000000000000000000e+01,8.182840516970953937e-01,7.839855072463768337e-01,8.224637681159420177e-01,8.478881987577640000e-01
