round,mean,p10,p50,p90
1.000000000000000000e+00,6.914849999999998431e+01,5.345700000000000074e+01,7.140999999999999659e+01,7.709800000000001319e+01
2.000000000000000000e+00,7.390950000000000841e+01,6.103499999999999659e+01,7.528000000000000114e+01,8.395700000000000784e+01
3.000000000000000000e+00,7.242300000000000182e+01,5.862700000000000244e+01,7.354999999999999716e+01,8.310099999999999909e+01
4.000000000000000000e+00,7.260049999999999670e+01,6.077499999999999858e+01,7.463499999999999091e+01,8.041100000000000136e+01
5.000000000000000000e+00,7.296949999999999648e+01,6.308499999999999375e+01,7.482500000000000284e+01,8.380299999999999727e+01
6.000000000000000000e+00,7.436000000000001364e+01,6.284299999999998931e+01,7.583500000000000796e+01,8.435400000000001342e+01
7.000000000000000000e+00,7.507449999999998624e+01,6.239599999999999369e+01,7.688999999999998636e+01,8.482999999999999829e+01
8.000000000000000000e+00,7.681900000000000261e+01,6.529299999999999216e+01,7.736500000000000909e+01,8.685499999999998977e+01
9.000000000000000000e+00,7.796049999999998192e+01,6.253900000000000148e+01,8.083500000000000796e+01,8.833000000000001251e+01
1.000000000000000000e+01,7.971099999999998431e+01,6.747500000000000853e+01,8.335500000000000398e+01,8.887800000000000011e+01
1.100000000000000000e+01,8.038449999999998852e+01,6.737300000000000466e+01,8.297499999999999432e+01,8.775900000000000034e+01
1.200000000000000000e+01,8.072449999999999193e+01,6.990099999999999625e+01,8.157999999999999829e+01,8.890699999999999648e+01
1.300000000000000000e+01,8.187800000000000011e+01,6.797199999999999420e+01,8.426500000000000057e+01,8.964000000000000057e+01
1.400000000000000000e+01,8.359649999999999181e+01,7.513599999999999568e+01,8.556999999999999318e+01,9.029800000000000182e+01
1.500000000000000000e+01,8.386299999999998533e+01,7.176300000000000523e+01,8.678000000000000114e+01,9.108300000000001262e+01
1.600000000000000000e+01,8.463150000000000261e+01,7.581000000000001648e+01,8.709000000000000341e+01,9.083400000000000318e+01
1.700000000000000000e+01,8.513149999999998840e+01,7.734900000000000375e+01,8.787000000000000455e+01,9.036100000000000421e+01
1.800000000000000000e+01,8.589099999999999113e+01,7.636499999999999488e+01,8.944499999999999318e+01,9.142199999999999704e+01
1.900000000000000000e+01,8.631300000000001660e+01,7.939900000000000091e+01,8.921500000000000341e+01,9.175900000000000034e+01
2.000000000000000000e+01,8.634649999999999181e+01,7.754999999999999716e+01,8.915500000000000114e+01,9.118800000000000239e+01
2.100000000000000000e+01,8.643649999999999523e+01,7.988800000000000523e+01,8.815500000000000114e+01,9.191999999999998749e+01
2.200000000000000000e+01,8.726399999999999579e+01,8.145399999999999352e+01,8.909499999999999886e+01,9.214900000000000091e+01
