time_s,round,mean,p10,p50,p90
5.119225978851318359e+00,1.000000000000000000e+00,3.647599999999999199e+01,1.940799999999999770e+01,3.654999999999999716e+01,5.607100000000000506e+01
5.660220384597778320e+00,2.000000000000000000e+00,4.053300000000000125e+01,2.664200000000000301e+01,3.778999999999999915e+01,5.858299999999999841e+01
6.154342412948608398e+00,3.000000000000000000e+00,3.680399999999999494e+01,1.903399999999999892e+01,3.714499999999999602e+01,5.624600000000000222e+01
6.658317565917968750e+00,4.000000000000000000e+00,3.720799999999998420e+01,1.900199999999999889e+01,3.654500000000000171e+01,5.379800000000000182e+01
7.162011623382568359e+00,5.000000000000000000e+00,3.724849999999999284e+01,1.973800000000000310e+01,3.682999999999999829e+01,5.593300000000000693e+01
7.641938447952270508e+00,6.000000000000000000e+00,3.773000000000000398e+01,2.169800000000000040e+01,3.764500000000000313e+01,5.461200000000000188e+01
8.135740518569946289e+00,7.000000000000000000e+00,3.929899999999999238e+01,2.242299999999999827e+01,3.843500000000000227e+01,5.594700000000000273e+01
8.627226352691650391e+00,8.000000000000000000e+00,3.908599999999999852e+01,2.190299999999999869e+01,3.859000000000000341e+01,5.696900000000000119e+01
9.113556861877441406e+00,9.000000000000000000e+00,3.933599999999999852e+01,2.445299999999999940e+01,3.925499999999999545e+01,5.571899999999999409e+01
9.612741947174072266e+00,1.000000000000000000e+01,4.144649999999999324e+01,2.804999999999999716e+01,3.993500000000000227e+01,5.729399999999999693e+01
1.009881711006164551e+01,1.100000000000000000e+01,4.167449999999998056e+01,2.497000000000000242e+01,4.028499999999999659e+01,5.644299999999999784e+01
1.057903981208801270e+01,1.200000000000000000e+01,4.286799999999999500e+01,2.736099999999999710e+01,4.080499999999999972e+01,5.671000000000000085e+01
1.106935763359069824e+01,1.300000000000000000e+01,4.345050000000000523e+01,2.875999999999999801e+01,4.221999999999999886e+01,5.737599999999999767e+01
1.155538296699523926e+01,1.400000000000000000e+01,4.369349999999999312e+01,2.876400000000000290e+01,4.156499999999999773e+01,5.772800000000000153e+01
1.204534959793090820e+01,1.500000000000000000e+01,4.462000000000001876e+01,2.869999999999999929e+01,4.486500000000000199e+01,5.853700000000001324e+01
1.252778029441833496e+01,1.600000000000000000e+01,4.450549999999999784e+01,2.878300000000000125e+01,4.304999999999999716e+01,5.759100000000000108e+01
1.302541017532348633e+01,1.700000000000000000e+01,4.528050000000000352e+01,2.906800000000000139e+01,4.493500000000000227e+01,6.059499999999999886e+01
1.350573849678039551e+01,1.800000000000000000e+01,4.606549999999999301e+01,3.156900000000000261e+01,4.670000000000000284e+01,6.012900000000000489e+01
1.401166033744812012e+01,1.900000000000000000e+01,4.577750000000000341e+01,3.103800000000000026e+01,4.450999999999999801e+01,6.107100000000000506e+01
1.449505639076232910e+01,2.000000000000000000e+01,4.622849999999999682e+01,3.068599999999999639e+01,4.400000000000000000e+01,6.308400000000000318e+01
1.497166752815246582e+01,2.100000000000000000e+01,4.698949999999999960e+01,3.389600000000000080e+01,4.535500000000000398e+01,6.085600000000000165e+01
1.545132136344909668e+01,2.200000000000000000e+01,4.838750000000000284e+01,3.687199999999999989e+01,4.775000000000000000e+01,6.305299999999999727e+01
1.593118262290954590e+01,2.300000000000000000e+01,4.766199999999999903e+01,3.539799999999999613e+01,4.703499999999999659e+01,6.132299999999999329e+01
